,Study Title,Study Status,Brief Summary,Study Results,Conditions,Interventions,Primary Outcome Measures,Secondary Outcome Measures,Sponsor,Collaborators,Sex,Age,Phases,Enrollment,Funder Type,Study Type,Study Design,Locations,study_duration
367,"Study to Evaluate Single Inhaled Doses of PT001, PT003, PT005 and PT001 Plus PT005 in Healthy Subjects",0,"The purpose of this study is to evaluate the safety of a single dose of PT003 compared with single doses of PT001 and PT005, and compared with PT001 plus PT005 delivered together as two separate single doses in healthy subjects.",1,Healthy Volunteers,drug: pt001|drug: pt005|drug: pt003|drug: pt001 + pt005,"Symptoms of Dry Mouth, Number of participants reporting dry mouth at 12 hours post-dose, 12 hours|Symptoms of Tremor, Number of participants reporting tremor at 12 hours post-dose, 12 hours|Blood Chemistry Change From Baseline, Series of 11 blood chemistries assessed throughout the study, 24 hours post dose for sentinel subjects, 12 hours post dose for subsequent subjects|Hematology Change From Baseline, Hematology assessments taken throughout the study Hematocrit, 24 hours post dose for sentinel subjects, 12 hours post dose for subsequent subjects|Hematology Change From Baseline, Hematology assessments taken throughout the study, 24 hours post dose for sentinel subjects, 12 hours post dose for subsequent subjects|Hematology Change From Baseline, Hematology assessments taken throughout the study Hemoglobin, 24 hours post dose for sentinel subjects, 12 hours post dose for subsequent subjects|Heart Rate Change From Baseline, Change from baseline for heart rate 12-hours post-dose Heart rate (bpm), 12 hours|Vital Sign Change Baseline; Blood Pressure, Vital sign change baseline; blood pressure, 12 hours|Vital Sign Change From Baseline, SpO2, Vital Sign Change from baseline 12-hours post-dose SpO2 (%), 12 hours|ECG Change From Baseline, Change from baseline for ECG parameters 12-hours post-dose Ventricular rate (bpm), 12 hours|ECG Change From Baseline, Change from baseline for ECG parameters 12-hours post-dose, 12 hours|Spirometry Change From Baseline, Change from baseline for spirometery measures 12-hours post-dose, 12 hours|Spirometry Change From Baseline, Change from baseline for spirometery measures 12-hours post-dose (FEV1 % predicted), 12 hours|Spirometry Change From Baseline, Change from baseline for spirometery measures 12-hours post-dose FEV/FVC (%), 12 hours|Spirometry Change From Baseline, Change from baseline for spirometery measures 12-hours post-dose PEFR (L/min), 12 hours|Serum Potassium Change From Baseline, 12 hours","Plasma Glycopyrrolate PK Parameters, Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Glycopyrrolate PK Parameters AUC0-inf (h*pg/mL), Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Glycopyrrolate PK Parameters (Tmax), Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Glycopyrrolate PK Parameters (t1/2), Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Glycopyrrolate PK Parameters Cmax (pg/mL), Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Glycopyrrolate PK Parameters (ke), Various pharmacokinetic parameters for plasma glycopyrrolate, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters, Various pharmacokinetic parameters for plasma formoterol, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters AUC0-inf (h*pg/mL), Various pharmacokinetic parameters for plasma formoterol, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters (Tmax), Various pharmacokinetic parameters for plasma formoterol, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters (t1/2), Various pharmacokinetic parameters for plasma formoterol, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters (Cmax), Pharmacokinetic parameters for plasma formoterol Cmax, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose|Plasma Formoterol PK Parameters (ke), Pharmacokinetic parameters for plasma formoterol ke, Concentrations were measured at pre-dose and 2,5,15, and 30 minutes post dose as well as 1,2,4,6,8, and 12 hours post dose","Pearl Therapeutics, Inc.",none,ALL,ADULT,PHASE1,9-19,INDUSTRY,1,"Allocation: RANDOMIZED|Intervention Model: CROSSOVER|Masking: QUADRUPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: TREATMENT","Dr Joanne Marjason, Herston, Queensland, 4006, Australia",0-122
368,IV Sildenafil Persistent Pulmonary Hypertension Of The Newborn,1,"To determine the efficacy of iv sildenafil in term and near term infants with PPHN (persistent pulmonary hypertension of the newborn), by measuring the need for inhaled nitric oxide (iNO) or extracorporeal membrane oxygenation (ECMO) compared to a historical control group not treated with sildenafil.",0,Persistent Pulmonary Hypertension of the Newborn,drug: sildenafil,"Efficacy - incidence of treatment failure, Day 1-14|Need for inhaled nitric oxide or Extracorporeal membrane oxygenation, Day 1-14","Changes in oxygenation index, 6 & 12 hours|Changes in differential saturation, 6 & 12 hours|Duration of mechanical ventilation, Days 1-14|Time from initiation of sildenafil to inhaled nitric oxide or extracorporeal membrane oxygenation, Days 1-14",Pfizer's Upjohn has merged with Mylan to form Viatris Inc.,none,ALL,CHILD,PHASE2,0-8,INDUSTRY,1,Allocation: NON_RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,unknown,366-515
369,Non- Inferiority Fractional-doses Trial for Yellow Fever Vaccine,0,"In the recent past there has been a number of large urban Yellow Fever outbreaks in sub-Saharan Africa, tropical South Americas, The demand for Yellow Fever vaccines in response to the large urban outbreaks occurring concurrently and the risk of further spread through Africa and to Asia was larger than the available global supply. In this situation, the World Health Organisation (WHO) developed recommendations for the use of fractional doses of Yellow Fever vaccine as a dose-sparing strategy. These recommendations were based on data from a limited number of clinical trials, none of which had been conducted in Africa. This was due to the uncertainties on the minimum dose requirement.

Our study complements a study which is comparing full standard dose to 1/5th of standard dose of all four WHO-prequalified YF vaccines in adults (ClinicalTrials.gov number: NCT02991495), and is currently ongoing at KEMRI CGMRC and Epicentre, Mbarara which is designed to answer questions on the use of current stock of YF vaccines with a potency as close as possible to each manufacturers' minimum release. Data from this trial will inform a WHO recommendation on using 1/5th of the current standard dose of vaccine for outbreak control. However, since many vials will contain excess YF vaccine such that 1/5th of a vial is likely to be substantially above the current minimum potency requirements, these data may not be scientifically explanatory regarding the minimum dose required for preventive use.

The new complementary study, aims to determine the lowest YF vaccine dose that is non-inferior to the current standard full dose among populations in sub-Saharan Africa. The study will be conducted in Kenya (KEMRI Center for Geographical Medicine Research-Coast (CGMR-C), Kilifi) and Uganda (Epicentre, Mbarara) with trial participants recruited at both sites, using vaccine from one WHO-prequalified manufacturer (Institut Pasteur de Dakar, Senegal (IPD)).",0,Yellow Fever,"biological: yellow fever vaccine, institut pasteur","The proportion of vaccinees that seroconverts as measured by Plaque Reduction Neutralisation Test (PRNT-50), PRNT-50 will be used to quantify functional antibodies by neutralisation of the virus, 28 days post vaccination","Duration of immunity as measured by PRNT, To describe the longevity of functional antibodies post-vaccination with the different doses as measured by PRNT, 10 days, 28 days, 1 year and 2 years (adults)|Change in the geometric mean fold of the antibody titre as measured by PRNT, To describe change in the geometric mean antibodies between baseline and 28 days after vaccination., Baseline and 28 days after vaccination|Other flavivirus antibodies interference as tested by neutralisation tests, To measure the impact of antibodies to other flaviviruses (including dengue, West Nile and zika viruses) on the baseline sample on YF vaccine immunogenicity 28 days after vaccination by pairwise comparison., Baseline and 28 days after vaccination|Post-vaccination viremia as measured by quantitative Polymerase Chain Reaction (PCR), To assess post-vaccination control of viremia by different vaccine doses by sparse sampling, baseline, and on days 2, 3, 4, 5, 6, 7 and 10 after vaccination|Changes in cellular immunology, To determine the change in T and B cell immune responses between baseline and days post-vaccination, baseline and days 10 and 28 post-vaccination.|Changes in biomarkers, To determine the change in serum biomarkers levels (including, TNF, INF-γ, IL-2, IL-4, IL-5, IL-10, IL-8/CXCL-8, MCP-1/CCL-2, MIG/CXCL-9 and IP-10/CXCL-10) between baseline and post-vaccination by pairwise comparison., Baseline, and on days 2, 3, 4, 5, 6, 7,10 and 28 after vaccination|Safety of different doses as described by the occurrence of adverse events (AE) and serious adverse events., To assess the occurrence of adverse events (AE) over 28 days after vaccination and serious adverse events throughout the duration of the study., 28 days after vaccination and an average of 1 year for the adult study and two years for the children study. .",University of Oxford,"KEMRI-Wellcome Trust Collaborative Research Program|Institut Pasteur|MRC/UVRI and LSHTM Uganda Research Unit|Epicentre, Paris, France.",ALL,"CHILD, ADULT",PHASE4,491-188814085,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, INVESTIGATOR, OUTCOMES_ASSESSOR)|Primary Purpose: PREVENTION","KEMRI-Wellcome Trust Research Programme, Kilifi, Coast, 254, Kenya|Epicentre, Mbarara., Mbarara, Uganda",1098-1460
370,A First-in-Human Study of the Safety of Single Continuous Intravenous (IV) Infusions of CXL-1427 for up to 48 Hours in Healthy Volunteers,0,This study is designed to assess a safe dosage of the drug CXL-1427 (BMS-986231) in healthy volunteers.,0,Heart Failure,drug: cxl-1427 ascending dose|other: placebo|drug: cxl-1427 descending dose,"Safety measured by percentage of Treatment Emergent Adverse Events (TEAEs), Up to 31 days|Tolerability measured by percentage of Treatment Emergent Adverse Events (TEAEs), Up to 31 days","Steady-state plasma concentration (Css), Up to 4 days|Area under the plasma concentration (AUC) vs. time curve, Up to 4 days|Terminal elimination half-life (1/2), Up to 4 days|Total body clearance (CL), Up to 4 days|Steady-state volume of distributions (Vss), Up to 4 days|Time to Css, Up to 4 days",Bristol-Myers Squibb,"Cardioxyl Pharmaceuticals, Inc",ALL,ADULT,PHASE1,60-79,INDUSTRY,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT",unknown,0-122
371,Third Trimester 3D Printed Models Versus 3D Ultrasound Effects on Maternal-Fetal Attachment,0,"This study will invite healthy women with singleton pregnancies and normal 20 week ultrasounds to participate in the study that will involve completing a demographic questionnaire and measure of attachment, a 3D ultrasound, being randomized to receive a 3D printed model of the fetal face or not, and completing the attachment measure again.",0,Maternal-Fetal Relations,other: 3d printed model|other: placebo,"Maternal Antenatal Attachment Scale (MAAS), The MAAS is a 19 item questionnaire measuring maternal-fetal attachment. Each item has five answer choices scored from 1 low attachment to 5 high attachment such that the total score ranges from 19 to 95. The measure also includes two subscales: (1) Quality of Attachment has 10 items with a range of 10-50 and measures the quality of the mother's attachment to her fetus. (2) Time measures the time spent in attachment mode (or intensity of preoccupation) and consists of 8 items for a range of 8 to 40. (for clarity one item included in the total score is not included in either subscale.), 5 minutes",none,Creighton University,John Cote,FEMALE,ADULT,NO PHASE,80-119,OTHER,1,Allocation: RANDOMIZED|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: HEALTH_SERVICES_RESEARCH,"Creighton Univeristy, Omaha, Nebraska, 68178, United States",245-365
372,SCOPE: Strategies to Combine PrEP With Prevention Efforts,1,"This pilot, open-label, prospective study will determine the feasibility of integrating pre-exposure prophylaxis (PrEP) into existing HIV prevention programs for female sex workers and if women who are enrolled in those programs will adhere to the daily PrEP regimen of Truvada®. This study will enroll 500 HIV antibody negative female sex workers in Eldoret and Nairobi, Kenya.",0,HIV,drug: once daily truvada®,"Drug Adherence, Describe the patterns of adherence to a regimen of daily oral Truvada® among female sex workers currently or newly enrolled in established HIV prevention programs, 11 months|PrEP Integration, Assess the feasibility of integrating PrEP into existing HIV prevention programs for female sex workers, 11 months","Assess adherence, Describe self-reported and electronically-monitored patterns of adherence to a regimen of daily oral Truvada® among female sex workers currently or newly enrolled in established HIV prevention programs, 11 months|drug level adherence, Assess the correlation between drug level adherence data and participant self-reported adherence data, 11 months|risk-taking behavior, Assess the impact of PrEP on HIV risk-taking behavior, 11 months|factors affecting Adherence, Identify factors associated with adherence to PrEP, 11 months|Support of prEP Adherence, Assess impact of adherence support by peer educators on PrEP adherence, 11 months|Contraceptive Use, Describe Contraceptive Use, 11 months|Resistance among Seroconverters, Assess resistance to TFV or FTC among seroconverters, 11 months|Birth Outcomes, Assess birth outcomes among women who choose to continue PrEP during pregnancy, 11 months|Tenofovir Concentrations, 9. Describe tenofovir concentrations among women who choose to continue PrEP during pregnancy, 11 months",FHI 360,"Family Health Options Kenya|Gilead Sciences|Institute of Tropical Medicine|Sex Workers Outreach Programme|University of North Carolina, Chapel Hill",FEMALE,"ADULT, OLDER_ADULT",NO PHASE,0-8,OTHER,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: ,"Family Health Options Kenya, Eldoret, Kenya|Sex Workers Outreach Programme (SWOP), Nairobi, Kenya",0-122
373,Airway Management and Vascular Access Simulation,0,This project involves a pre- and post- airway management and vascular access simulation survey. The purpose of the study is to assess the perceived effectiveness of the simulation course on the performance of medical students enrolling in the Anesthesiology rotation during their third and fourth year of medical education.,0,Airway Management|Vascular Access,other: simulation,"perceived effectiveness, pre- and post- simulation",none,University of Alabama at Birmingham,none,ALL,"CHILD, ADULT, OLDER_ADULT",NO PHASE,42-59,OTHER,0,Observational Model: |Time Perspective: p,"University of Alabama at Birmingham, Birmingham, Alabama, 35249, United States",245-365
374,"SPRING: Safety, Efficacy, Pharmacokinetics of tipRanavir/r IN Race/Gender HIV+ Patients Randomized to TDM or SoC",1,"The primary purpose of this study is to:

1. Demonstrate the safety and efficacy of tipranavir/ritonavir (TPV/r) among a racially diverse HIV+ population (males and females) who are three-class (nucleoside reverse transcriptase inhibitor (NRTI), non-nucleoside reverse transcriptase inhibitor (NNRTI), and protease inhibitor (PI)) experienced with documented resistance to more than one PI.
2. Determine pharmacokinetic data in this racially and gender diverse population.
3. Determine the potential utility of using therapeutic drug monitoring (TDM) in improving efficacy outcomes.",1,HIV Infections,drug: tipranavir|drug: ritonavir|drug: optimized background regimen (obr),"Treatment Response at Week 48, percentage of participants whose viral load \<50 copies/mL at Week 48, after 48 weeks of treatment","Percentage of Participants Whose Viral Load <50 Copies/mL at Each Visit Including Visits at Weeks 24 and 48, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Percentage of Participants Whose Viral Load <400 Copies/mL at Each Visit Including Visits at Weeks 24 and 48, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Percentage of Participants Whose ≥1 log10 Drop in Viral Load From Baseline at All Visits, Including Visits at Weeks 24 and 48, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Change in Viral Load From Baseline at Each Visit, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Time to Treatment Failure, For patients who never achieve a confirmed virologic response, time to treatment failure is defined as 0. For patients who achieve a confirmed virologic response, time to treatment failure is the earliest time of either: death, permanent discontinuation of the study drug or loss to follow-up, introduction of a new anti-retroviral drug to the regimen if it is not solely related to either toxicity or intolerance clearly attributable to a background drug, but not the study drug, or first occurrence of a VL \>50 copies/mL at two consecutive measurements after having achieved a VL \<50 copies/mL., after Day 1 of treatment|Time to New AIDS or AIDS Related Progression Event or Death, after Day 1 of treatment|Change in CD4+ and CD8+ Cell Counts From Baseline at Each Visit Including Visits at Week 24 and Week 48, after 2 weeks of treatment till Week 48 (Weeks 2, 4, 8, 12, 24, 36, and 48)|Change in Ratio of CD38+/CD8+ From Baseline to Week 48, after 2 weeks of treatment till Week 48 (Weeks 2, 4, 8, 12, 24, 36, and 48)|Tipranavir (TPV) and Ritonavir (RTV) Trough Concentrations at Week 2, Week 4, Week 8, Week 12, Week 24, Week 36 and Week 48, after 2 weeks of treatment till Week 48 (Weeks 2, 4, 8, 12, 24, 36, and 48)|Patients Adherence With Study Medication Based on Pill Count, after 4 weeks of treatment|Occurrence of TPV Inhibitory Quotient (IQ) >60 at Each Visit Where TPV Concentration is Measured, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Occurrence of TPV Trough Concentration >120 μM, after 2 weeks of treatment (Weeks 2, 4, 8, 12, 24, 36, and 48)|Post-dose TPV and RTV Concentrations at Week 4, Week 4",Boehringer Ingelheim,none,ALL,"ADULT, OLDER_ADULT",PHASE3,30-41,INDUSTRY,1,Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: TREATMENT,"1182.98.033 Boehringer Ingelheim Investigational Site, Washington, District of Columbia, United States|1182.98.018 Boehringer Ingelheim Investigational Site, Clearwater, Florida, United States|1182.98.014 Boehringer Ingelheim Investigational Site, Fort Lauderdale, Florida, United States|1182.98.041 Boehringer Ingelheim Investigational Site, Orlando, Florida, United States|1182.98.004 Boehringer Ingelheim Investigational Site, Decatur, Georgia, United States|1182.98.002 Boehringer Ingelheim Investigational Site, Kansas City, Missouri, United States|1182.98.016 Boehringer Ingelheim Investigational Site, New York, New York, United States|1182.98.026 Boehringer Ingelheim Investigational Site, New York, New York, United States|1182.98.034 Boehringer Ingelheim Investigational Site, Stony Brook, New York, United States|1182.98.040 Boehringer Ingelheim Investigational Site, Huntersville, North Carolina, United States|1182.98.006 Boehringer Ingelheim Investigational Site, Akron, Ohio, United States|1182.98.007 Boehringer Ingelheim Investigational Site, Cincinnati, Ohio, United States|1182.98.020 Boehringer Ingelheim Investigational Site, Oklahoma City, Oklahoma, United States|1182.98.029 Boehringer Ingelheim Investigational Site, Philadelphia, Pennsylvania, United States|1182.98.023 Boehringer Ingelheim Investigational Site, Austin, Texas, United States|1182.98.009 Boehringer Ingelheim Investigational Site, Houston, Texas, United States|1182.98.5405 CENTRO de INFECTOLOGIA y ASISTENCIA (CIAS), Capital Federal ,Buenos Aires, Argentina|1182.98.5403 Centro Hospital Higa - Dr Oscar Alende, Mar del Plata, Argentina|1182.98.5402 Caici, Rosario, Argentina|1182.98.55002 Hospital DIA, Sacomã - São Paulo, Brazil|1182.98.55004 Unidade de Referência em doenças Infecciosas Preveníveis, Santo André, Brazil|1182.98.55001 Universidade Federal de Sao Paulo, Sao Paulo, Brazil|1182.98.55003 Centro de Referência e Treinamento - DST/AIDS, Vila Mariana - Sao Paulo, Brazil|1182.98.1007 Boehringer Ingelheim Investigational Site, Quebec, Ste Foy, Quebec, Canada|1182.98.4903 Boehringer Ingelheim Investigational Site, Bochum, Germany|1182.98.4908 Boehringer Ingelheim Investigational Site, Hamburg, Germany|1182.98.3907 Boehringer Ingelheim Investigational Site, Torino, Italy|1182.98.3402, Barcelona, Spain|1182.98.3405, Madrid, Spain|1182.98.3406, Madrid, Spain",
375,Phase I Study of Kukoamine B Mesilate in Healthy Volunteers,0,"The purpose of this study is to assess safety, tolerance and pharmacokinetics of a single intravenous injection Kukoamine B Mesilate in health volunteer",0,Healthy,drug: kukoamine b mesilate,"Incidence of adverse events., AE,physical examination,monitoring of vital signs, Laboratory examination,ECG etc., 7 days","Pharmacokinetic parameters (t1/2,AUC0-inf,AUClast and Cmax;Fe0-48h(%),CLr24h), Blood:（Pre Test）0,20min,40min after initiation of drug administration and 0,10min,20min,30min,45min,1h,1.5h,2h,2.5h,3h,4h,6h,8h,12h,24h after the end of administration;(Formal Test) 0,20min,40min after initiation of drug administration and 0,30min,1h,2h,3h,4h,6h,8h,12h,16h,24h after the end of administration; Urine:(Pre Test) 0,0-4h,4-8h,8-12h,12-24h,24-48h after initiation of drug administration;(Formal Test) 0,0-5h,5-9h,9-13h,13-25h,25-49h after initiation of drug administration ., 48h","Tianjin Chasesun Pharmaceutical Co., LTD","Southwest Hospital, China",ALL,ADULT,PHASE1,42-59,INDUSTRY,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: TRIPLE (PARTICIPANT, CARE_PROVIDER, INVESTIGATOR)|Primary Purpose: TREATMENT","Peking Union Medical College Hospital, Beijing, Beijing, China",245-365
376,Effects of Steady-state TPV/RTV on the Single-dose Pharmacokinetics of Rifabutin and the Effects of Single-dose Rifabutin on the Steady-state Pharmacokinetics of TPV in Healthy Adult Volunteers,0,Study to determine the effects of steady-state Tipranavir (TPV) / Ritonavir (RTV) (500mg/200mg bid) on the single-dose pharmacokinetics of Rifabutin (RFB) and to determine the effects of single-dose RFB on the steady-state pharmacokinetics of TPV 500mg (co-administered with RTV 200mg),0,Healthy,drug: tipranavir|drug: ritonavir|drug: rifabutin,"Maximum plasma concentration of the analytes in plasma (Cmax), up to 144 hours after drug administration|Drug concentration of the analytes in plasma at 12 hours after administration (Cp12h), up to 12 hours after drug administration|Area under plasma concentration time curve from 0-12 hours (AUC0-12h), up to 12 hours after drug administration|Area under the plasma drug concentration-time curve from time zero to infinity of the analytes (AUC0-∞), up to 144 hours after drug administration","Oral clearance (CL/F), up to 144 hours after drug administration|Time of maximum concentration (Tmax), up to 144 hours after drug administration|Volume of distribution (V), up to 144 hours after drug administration|Apparent terminal half life (t1/2), up to 144 hours after drug administration|Number of subjects with adverse events, up to 24 days|Number of subjects with abnormal changes in laboratory parameters, up to 21 days",Boehringer Ingelheim,none,ALL,ADULT,PHASE1,20-29,INDUSTRY,1,Allocation: NA|Intervention Model: SINGLE_GROUP|Masking: NONE|Primary Purpose: TREATMENT,unknown,
377,Glutamine PET Imaging in LAM,0,"In this study, subjects with spontaneous or tuberous sclerosis complex associated lymphangioleiomyomatosis (LAM) who have not been started on therapy with mTOR inhibitors such as sirolimus or everolimus to undergo a PET/CT scan using an novel PET tracer that may better evaluate disease activity in LAM subjects both before and after the initiation of mTOR inhibitor therapy will be enrolled. The procedure for each scan will be similar, involving one administration of the novel tracer C11-glutamine followed by a whole body PET/CT scan.",0,Lymphangioleiomyomatosis (LAM),drug: glutamine,"Evaluate the uptake of the PET tracer throughout the entire lung and any associated neoplasms (AML, Lymphangiomas) in patients with LAM, While these imaging techniques have not been used in normal populations, the pulmonary uptake of patients with known intraabdominal malignancy will serve as control for evaluation of any potential uptake. When comparing treatment effects, each patient can serve as their own control as they will have already had imaging completed prior to the initiation of therapy. VEGF-D levels will be collected from clinical laboratory assessment or will be collected at time of enrollment, and relative elevation of VEGF-D will be compared to the relative uptake of tracer within the pulmonary parenchyma of each individual patient., 8 weeks",none,Vanderbilt University Medical Center,The LAM Foundation,FEMALE,"ADULT, OLDER_ADULT",PHASE1,0-8,OTHER,1,Allocation: NON_RANDOMIZED|Intervention Model: PARALLEL|Masking: NONE|Primary Purpose: DIAGNOSTIC,"Vanderbilt University Medical Center, Nashville, Tennessee, 37232, United States",516-671
378,"Growth, Health and Development in Children Born Extremely Preterm",0,"Background: In a national Norwegian cohort of children born before 28 weeks gestation or with a birth weight less than 1000 g born in 1999 and 2000, 372 survived. Compared with earlier studies survival increased for the most immature infants, but at the cost of more early complications and a high rate of impairments, while the less immature children had fewer early complications and less impairments detectable within 5 years. These changes show the importance of monitoring outcome as treatment modalities change. Large brain haemorrhages were highly predictive of severe disabilities, but we have not found good predictive factors for milder impairments such as cognitive, behavioural and motor difficulties. However, at 5 years later function may be difficult to predict, and the children's potentials are better understood after completing several years in school. Objectives: The children will be re-examined at age 11 in order to assess their physical and mental health, and cognitive, motor and social function, and to determine if early life events and development at 2 and 5 years are predictive of long term health and functioning. MRI-studies, including functional MRI will be performed to examine if different outcomes related to brain function can be explained by differences in brain development. Methods: For all, data will be collected from the compulsory national test in 5th grade and questionnaires to the child, parents and teacher. For children in Western Norway (n=87) extensive examinations of lung and brain function, including clinical diagnostic tests and MRI, will be added. For all aspects of the study the investigators have appropriate current and historic reference populations for comparison. Implications: Knowledge on causes and of early predictions of outcome is needed to give appropriate advice to families, professionals and society, and to develop preventive programs.",0,"Infant, Extremely Low Birth Weight|Lung Diseases, Obstructive|Disorder of Bone Density and Structure, Unspecified|Cognition Disorders|Neurobehavioral Manifestations",unknown,"growth, Heigh and weight. In a subpopulation of 80 children: Also skin fold thicknesses and waist circumference, Eleven years old (years 2010, 2011)|Mental health, Questionnaires completed by parents (Strengths and Difficulties questionnaire, Parenting Stress Index,ASSQ), Eleven years old (years 2010, 2011)|Cognitive function, Grades in 5th grade in school, Eleven years old (years 2010, 2011)|Pulmonary function, Spirometry on a subgroup of 80 and 80 controls, Eleven years of age (years 2010,2011)|Cerebral function, fMRI on a subgroup of 40 and 40 controls, Eleven years of age (years 2010,2011)|Bone density, DXA measurements on a subgroup of 80 and 80 controls, Eleven years of age (years 2010,2011)",none,University of Bergen,Haukeland University Hospital,ALL,CHILD,NO PHASE,210-490,OTHER,0,Observational Model: |Time Perspective: p,"Haukeland University Hospital, Bergen, N-5021, Norway|Stavanger University Hospital, Stavanger, N-4068, Norway",1461-2049
379,The Effect of Diflunisal on Familial Amyloidosis,0,"The purpose of this study is to determine if diflunisal can prevent progressive lower leg nerve damage in patients with familial amyloidosis polyneuropathy.

Funding Source - FDA Office of Orphan Products Development (OOPD); National Institute of Neurological Disorders and Stroke (NINDS)",1,Familial Amyloid Polyneuropathy|Familial Amyloidosis,drug: diflunisal|other: placebo,"Neurologic Impairment Score + 7 (NIS+7), The primary endpoint, the difference in polyneuropathy progression between treatments, was measured by the Neuropathy Impairment Score plus 7 nerve tests (NIS+7) which ranges from 0 (no neurologic deficits) to 270 points (no detectable peripheral nerve function)., Baseline, 1 and 2 years","Kumamoto Neurologic Scale;, Change from baseline of the Kumamoto Score (0-102 points, increasing with disease severity), a clinical neurologic scale of motor, sensory, and autonomic function combined with heart and kidney end organ measures developed to track disease progression in Familial Amyloid Polyneuropathy (ATTR-FAP), Baseline, 1 and 2 years|Modified Body Mass Index (mBMI);, The product of body mass index (BMI) and serum albumin level (g/L) \[kg/M2xg/L\]., Baseline, 1 and 2 years|Quality of Life Questionnaire: SF-36 Physical Component Score, The 36 item short-form health survey (SF-36) was used to assess the difference between treatment groups for change of physical component scores over 2 years treatment. Range 0-100; lower scores reflect lower quality-of-life., Baseline, 1 and 2 years|Quality of Life Questionnaire: SF-36 Mental Component Score, The 36 item short-form health survey (SF-36) was used to assess the difference between treatment groups for change of mental component scores over 2 years treatment. Range 0-100; lower scores reflect lower quality-of-life., Baseline, 1 and 2 years",Boston University,Food and Drug Administration (FDA)|National Institute of Neurological Disorders and Stroke (NINDS),ALL,"ADULT, OLDER_ADULT",PHASE2|PHASE3,120-209,OTHER,1,"Allocation: RANDOMIZED|Intervention Model: PARALLEL|Masking: DOUBLE (PARTICIPANT, INVESTIGATOR)|Primary Purpose: TREATMENT","Amyloidosis Center, Boston Medical Center, Boston, Massachusetts, 02118, United States|Mayo Clinic Rochester, Rochester, Minnesota, 55905, United States|Mount Sinai School of Medicine, Department of Medicine, New York, New York, 10029-6574, United States|IRCCS Policlinico San Matteo, Pavia, 27100, Italy|Kumamoto University, Kumamoto, 860-0811, Japan|Shinshu University, Matsumoto, 390-8621, Japan|Umea University Hospital, Umea, SE-901 86, Sweden|King's College Hospital, London, SE5 9RS, United Kingdom",2050-38562
